anio,mes,recaudacion,emae,exportaciones,importaciones,dolar_blue,dolar_oficial,monedas_publico,ingresos_familiares,ipc
2009,1,0.08059106860844589,-0.07501153771917446,-0.3615482615823006,-0.38371121575834166,0.11741528762805364,0.10410094637223977,-0.6897810218978102,-0.01943844492440605,0.004405698753172277
2009,2,0.12835999171319412,-0.06485690385895804,-0.24511650860082956,-0.3673600462043406,0.1428571428571428,0.12933753943217674,-0.7665505226480835,-0.006535947712418277,0.004594560546065667
2009,3,0.1871711706795236,-0.04661325693995888,-0.1456942843399317,-0.3062501493278116,0.18980392156862735,0.17610062893081757,-0.8945454545454545,0.008810572687224738,0.004881048795980932
2009,4,0.10401322005870939,-0.11901074025686575,-0.13571783040338592,-0.43674207180276403,0.15777262180974483,0.1656249999999999,-0.9328063241106719,0.022222222222222143,0.005055020108864183
2009,5,0.09461647336717349,-0.13700712899590084,-0.16616631418771743,-0.4885062042444054,0.19795758051846035,0.20127795527156556,-0.8839285714285714,0.006578947368421018,0.00536811879792326
2009,6,0.10237618627903733,-0.07964803315040303,-0.036199092305005065,-0.3035155263428624,0.2540849673202614,0.24918032786885247,-0.601123595505618,-0.010799136069114534,0.005769354857216562
2009,7,0.06454509630305827,-0.06788435845531005,-0.2975246611010208,-0.4064799167503744,0.2616136919315404,0.25901639344262306,-0.5266666666666666,-0.025586353944562767,0.00628885176065739
2009,8,0.007373734323198544,-0.05586709112728727,-0.4092458812390122,-0.36899703204959544,0.2544861337683524,0.26973684210526305,-0.4418604651162791,-0.021598272138228958,0.0067120293544157645
2009,9,0.06249256729757047,-0.045396737608487614,-0.34515064914903903,-0.30973641182127176,0.21790808240887483,0.22222222222222232,-0.44525547445255476,-0.013157894736842146,0.007429564444500655
2009,10,0.05227083856527259,-0.025425149835231586,-0.20680183063519475,-0.2871385016741652,0.09770114942528729,0.1264705882352941,-0.15315315315315314,-0.008888888888888946,0.00785693505568521
2009,11,0.17749599050001263,0.012464421730408182,-0.006229129038468617,-0.12698967474651823,0.11346998535871156,0.1301775147928994,0.3936170212765957,-0.011086474501108667,0.008255201316932883
2009,12,0.18719619974440915,0.022844814597679397,0.13318801584215234,0.041822706549818456,0.0911016949152541,0.10374639769452454,0.975609756097561,-0.013245033112582738,0.008603703630785787
2010,1,0.2019154421070939,0.0406588180930294,0.1866724424006545,0.1627233854242751,0.0944992947813823,0.10000000000000009,1.0352941176470587,-0.01541850220264318,0.008856552075189388
2010,2,0.20946011179785295,0.043217741686565114,0.003596052455826282,0.29730262951789066,0.07829670329670324,0.0837988826815641,1.5373134328358207,-0.02412280701754388,0.009010743834292472
2010,3,0.3086443050626262,0.08504615194797505,0.09939434374225065,0.5243460937714541,0.024390243902439046,0.04010695187165769,5.862068965517241,-0.030567685589519722,0.00894104991895773
2010,4,0.30287300930618977,0.13894440945407038,0.2287524522411346,0.4769768596830657,0.046760187040748136,0.04557640750670244,11.705882352941178,-0.03913043478260869,0.008931068530092597
2010,5,0.4344037738099378,0.18848299078114783,0.24973455116780174,0.720063522983073,0.040000000000000036,0.0478723404255319,7.846153846153847,-0.0326797385620915,0.00900134731675444
2010,6,0.3888581454600595,0.1589086039230474,0.2222018552695757,0.4233567583590485,0.044951140065146555,0.036745406824147064,2.267605633802817,-0.026200873362445476,0.008933721437099756
2010,7,0.37477663453204135,0.09533869874543877,0.2150556271201427,0.4741244258631603,0.0406976744186045,0.03125,2.7183098591549295,-0.01969365426695846,0.008829494106190808
2010,8,0.38127883421641484,0.1067930930144474,0.46671033059923017,0.6452147420967089,0.042262678803641096,0.02849740932642497,3.0972222222222223,-0.017660044150110354,0.008575607772011551
2010,9,0.36373932586714663,0.0833006135755181,0.40705663900583655,0.4558277254898768,0.04879635653871195,0.03506493506493502,3.0921052631578947,-0.01777777777777778,0.008106931306210471
2010,10,0.36800118235919177,0.06341667755090108,0.2268995603324775,0.35408760956081764,0.05628272251308908,0.039164490861618884,2.5106382978723403,-0.015695067264574036,0.007916620959055624
2010,11,0.39509812610916617,0.09840597859112843,0.21405251969553296,0.527039466894561,0.06903353057199224,0.04712041884816753,1.5648854961832064,-0.020179372197309475,0.008030191550761056
2010,12,0.3567202954332225,0.09653509716147624,0.14382107024031665,0.4962186275369036,0.06343042071197424,0.04699738903394257,0.9320987654320989,-0.02460850111856827,0.008067683219536525
2011,1,0.4148081539615469,0.09523210214851363,0.17625628688994555,0.5235004829079397,0.06572164948453607,0.045454545454545414,0.7803468208092486,-0.029082774049216997,0.008089221418045342
2011,2,0.34621515215204823,0.08084508608921692,0.3634992287258374,0.37892766240431097,0.057961783439490544,0.04639175257731942,1.0705882352941178,-0.026966292134831482,0.008121146628533528
2011,3,0.31641947873839205,0.07382519772331242,0.3009310535023646,0.28134911199668644,0.07014157014157019,0.046272493573264795,0.8643216080402012,-0.024774774774774744,0.008238800001384097
2011,4,0.3227223933682086,0.036094823496528594,0.13447935641201592,0.3491574871217329,0.098915124441608,0.05384615384615388,0.7824074074074072,-0.022624434389140302,0.008384719148490935
2011,5,0.295991907746775,0.0510257309865052,0.21991298488027122,0.418425921352624,0.08385876418663307,0.045685279187817285,0.682608695652174,-0.022522522522522515,0.008189253246371542
2011,6,0.3105882584261368,0.04558945515146995,0.22729681564251702,0.3015953578608328,0.0654613466334164,0.04810126582278462,0.6896551724137934,-0.024663677130044914,0.008094484246614306
2011,7,0.29125599524540613,0.04926251981419827,0.2075269206009993,0.29638761235654365,0.07759155803848539,0.05303030303030298,0.5151515151515151,-0.024553571428571397,0.008120268112534539
